Use of Social Media By Political Parties;Years;Twitter;Facebook;Instagram;LinkedIn
D66;;;;;
;2007;;;;
;2008;;;;
;2009;yes ;yes;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;amount of followers 2020;209000;70381;149000;7913
;amount of content 2020;23300;;271;
;;;;;
PVDA;;;;;
;2007;yes;;;
;2008;yes;;;
;2009;yes;;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;yes;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;amount of followers 2020;148800;48025;9562;4781
;amount of content 2020;17200;;390;
;;;;;
VVD;;;;;
;2007;yes;;;
;2008;yes;;;
;2019;yes;;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;amount of followers 2020;241200;107053;32000;13056
;amount of tweets 2020;17300;;832;
;;;;;
SP;;;;;
;2007;;;;
;2008;;;;
;2009;;yes;;
;2010;;yes;;
;2011;;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;;
;2015;yes;yes;;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;amount of followers 2020;4477;87580;5325;1512
;amount of tweets 2020;4320;;317;
;;;;;
GroenLinks;;;;;
;2007;;;;
;2008;yes;yes;;
;2009;yes;yes;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;amount of followers 2020;137400;83429;241000;6990
;amount of tweets 2020;19100;;250;
;;;;;
CDA;;;;;
;2007;;;;
;2008;;;;
;2009;yes;;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;amount of followers 2020;50400;50986;8881;6922
;amount of tweets 2020;36500;;900;
